Date,Shahrukh,Jackie Chan,Brad,Actual
3/31/1999,0.93,0.86,1.31,1.07
6/30/1999,0.85,0.81,1.04,1.03
9/30/1999 ,1.18,1.12,0.69,1.07
12/31/1999,0.91,0.93,0.94,1.0
 3/31/2000 ,0.87,0.85,0.96,0.95
6/30/2000,1.13,1.03,0.45,0.96
9/29/2000 ,0.69,1.03,1.03,0.88
12/29/2000 ,0.83,0.75,0.9,0.93
 3/30/2001 ,0.92,1.0,0.83,0.88
6/29/2001 ,0.77,0.89,1.09,0.85
9/28/2001,1.14,0.92,0.51,0.92
12/31/2001 ,0.75,0.63,0.83,0.88
3/29/2002 ,0.92,0.9,0.83,0.87
6/28/2002 ,1.0,0.98,0.79,1.0
9/30/2002 ,1.16,1.08,0.68,0.99
12/31/2002,0.89,1.26,1.45,1.04
3/31/2003 ,1.04,1.02,1.45,1.09
6/30/2003 ,1.02,1.12,1.06,1.14
9/30/2003 ,1.2,1.12,1.24,1.17
12/31/2003 ,1.09,1.19,1.39,1.25
3/31/2004 ,1.42,1.28,1.1,1.22
6/30/2004 ,1.23,1.16,1.21,1.21
9/30/2004 ,1.29,1.15,0.68,1.23
12/31/2004 ,1.43,1.4,1.39,1.36
3/31/2005 ,1.34,1.44,1.34,1.3
6/30/2005 ,1.05,1.26,1.31,1.2
9/30/2005 ,1.15,1.35,1.44,1.2
12/30/2005 ,1.19,1.19,1.08,1.18
3/31/2006 ,1.24,1.09,0.91,1.21
6/30/2006 ,1.45,1.42,1.19,1.27
9/29/2006 ,1.3,1.22,0.93,1.27
12/29/2006 ,1.05,1.26,1.77,1.32
3/30/2007 ,1.31,1.55,1.51,1.33
6/29/2007 ,1.61,1.42,0.81,1.35
9/28/2007 ,1.54,1.4,1.5,1.42
